Date,UMC,GFS,TSEM,GSM,ENTG,MKSI,LIN,SHECY,ASML,AMAT,LRCX,KLAC,TER,TOELY,TSM,INTC,MU,SNDK,WDC,ASX,AMKR,NVDA,AVGO,AMD,QCOM,ARM,SNPS,CDNS,MSFT,GOOGL,META,AMZN,VRT,SMH,SOXX,XSD
2026-09-08,21.81999969482422,45.09000015258789,219.82000732421875,4.519999980926514,141.08999633789062,265.5,468.3800048828125,18.450000762939453,1764.8499755859375,472.7900085449219,320.4200134277344,188.97999572753906,372.05999755859375,177.27000427246094,439.0,104.47000122070312,1000.260009765625,1737.989990234375,477.29998779296875,39.790000915527344,50.720001220703125,225.72999572753906,368.55999755859375,505.739990234375,174.08999633789062,261.5299987792969,392.0299987792969,284.1099853515625,493.95001220703125,338.3599853515625,613.47998046875,256.9700012207031,290.8299865722656,573.72998046875,528.4000244140625,495.9800109863281
2026-09-09,,,,,,,,18.600000381469727,,,,,,170.39999389648438,,,,,,,,,,,,,,,,,,,,,,
