Date,UMC,GFS,TSEM,GSM,ENTG,MKSI,LIN,SHECY,ASML,AMAT,LRCX,KLAC,TER,TOELY,TSM,INTC,MU,SNDK,WDC,ASX,AMKR,NVDA,AVGO,AMD,QCOM,ARM,SNPS,CDNS,MSFT,GOOGL,META,AMZN,VRT,SMH,SOXX,XSD
2018-09-05,1.8334633111953735,,21.940000534057617,7.751208305358887,31.911407470703125,87.17153930664062,138.4969940185547,8.811779975891113,181.05921936035156,39.07575225830078,15.445489883422852,10.667218208312988,39.44540023803711,26.522544860839844,37.62901306152344,40.812007904052734,48.30830001831055,,41.91510772705078,3.455296516418457,7.660099506378174,6.887288570404053,17.95200538635254,28.510000228881836,58.296566009521484,,100.66999816894531,46.529998779296875,100.43451690673828,59.389869689941406,165.7246551513672,99.74099731445312,9.748156547546387,50.82297897338867,59.015628814697266,76.3456039428711
2018-09-06,1.8267227411270142,,21.15999984741211,7.693145751953125,29.28907012939453,80.01705169677734,138.96713256835938,8.839204788208008,171.15814208984375,37.02541732788086,14.369046211242676,9.630390167236328,38.17265319824219,25.600133895874023,37.48434829711914,40.41858673095703,43.53988265991211,,40.36451721191406,3.3903744220733643,7.279874801635742,6.746286869049072,17.510135650634766,27.84000015258789,57.860721588134766,,101.77999877929688,46.540000915527344,100.66594696044922,58.64148712158203,161.11517333984375,97.91549682617188,9.748156547546387,49.5050163269043,57.4515266418457,74.70842742919922
2018-09-07,1.7930192947387695,,20.979999542236328,7.770561218261719,30.27244758605957,80.11121368408203,137.5124053955078,8.584529876708984,167.83609008789062,36.639259338378906,14.326849937438965,9.352106094360352,38.27872085571289,24.74268341064453,38.190643310546875,39.725852966308594,43.74464797973633,,40.294673919677734,3.311025619506836,7.2427825927734375,6.725013732910156,18.856822967529297,27.3799991607666,57.87717819213867,,102.05000305175781,46.439998626708984,100.17527770996094,58.324501037597656,161.62069702148438,97.60350036621094,9.72826099395752,49.2861328125,57.21350860595703,73.95283508300781
2018-09-10,1.664946436882019,,20.81999969482422,7.751208305358887,30.46526527404785,80.11121368408203,138.25753784179688,8.572775840759277,172.2902374267578,36.4094123840332,14.31607723236084,9.487655639648438,38.03767776489258,24.75567626953125,37.96939468383789,39.597572326660156,43.783660888671875,,39.84764862060547,3.238889694213867,7.26132869720459,6.796008110046387,19.50786781311035,29.889999389648438,59.47252655029297,,102.58999633789062,46.4900016784668,101.2583999633789,58.199195861816406,162.7508087158203,96.95050048828125,9.817784309387207,49.76581954956055,57.81935501098633,74.4468994140625
2018-09-11,1.705390453338623,,20.889999389648438,7.567347049713135,30.368852615356445,78.65205383300781,139.33079528808594,8.482659339904785,170.15599060058594,36.02324676513672,14.048487663269043,9.481374740600586,37.17953109741211,24.911577224731445,37.90983963012695,38.4258918762207,42.51597595214844,,38.40182113647461,3.246103525161743,7.066580772399902,6.748265743255615,18.854389190673828,30.100000381469727,59.628753662109375,,102.44000244140625,46.459999084472656,102.98030853271484,58.938663482666016,164.49549865722656,99.35749816894531,9.698421478271484,49.141761779785156,57.259864807128906,74.38875579833984
2018-09-12,1.6514652967453003,,21.1200008392334,7.780238628387451,28.63349723815918,76.25154113769531,138.90505981445312,8.239738464355469,162.73245239257812,35.29689025878906,13.593764305114746,9.237201690673828,35.35719680786133,23.463001251220703,37.3907585144043,38.4258918762207,40.70222854614258,,39.512386322021484,3.2821712493896484,6.797642230987549,6.634476184844971,18.63872718811035,32.209999084472656,59.003761291503906,,102.08999633789062,45.869998931884766,103.4154281616211,58.027828216552734,160.58975219726562,99.5,9.748156547546387,48.578250885009766,56.59837341308594,73.6331558227539
2018-09-13,1.6919091939926147,,21.139999389648438,7.683469772338867,28.970928192138672,77.56948852539062,141.20237731933594,8.149621963500977,168.88470458984375,35.75661087036133,13.84237003326416,9.350310325622559,36.07069396972656,23.450010299682617,36.95676803588867,38.97323226928711,42.53548049926758,,39.88257598876953,3.3182387351989746,7.103675365447998,6.712152004241943,19.08708381652832,30.479999542236328,61.35570526123047,,102.80999755859375,46.310001373291016,104.5263442993164,58.54985427856445,159.95535278320312,99.49349975585938,9.748156547546387,49.17435836791992,57.24441146850586,73.59441375732422
2018-09-14,1.698649525642395,,21.3799991607666,7.7415313720703125,29.501171112060547,78.41674041748047,139.2509307861328,8.396461486816406,171.0653839111328,35.949684143066406,13.873106956481934,9.378141403198242,36.196044921875,23.64488410949707,37.79069137573242,38.94758224487305,43.19857406616211,,39.784786224365234,3.3398797512054443,7.1593170166015625,6.838061332702637,19.161672592163086,32.720001220703125,61.750431060791016,,102.72000122070312,46.2599983215332,104.9521713256836,58.34381866455078,160.906982421875,98.5094985961914,9.748156547546387,49.68198776245117,57.88737106323242,74.47594451904297
2018-09-17,1.6851682662963867,,21.75,7.751208305358887,28.778104782104492,77.66362762451172,140.1645965576172,8.412135124206543,169.89614868164062,35.5819206237793,13.750161170959473,9.270416259765625,35.88750076293945,23.488985061645508,37.23758316040039,38.84495544433594,42.496482849121094,,39.93846130371094,3.303811550140381,7.233508110046387,6.776219367980957,19.03924560546875,32.43000030517578,60.22907638549805,,100.06999969482422,45.369998931884766,103.81348419189453,57.44486999511719,159.18212890625,95.40149688720703,9.698421478271484,49.0113639831543,57.08058166503906,73.40065002441406
2018-09-18,1.664946436882019,,22.010000228881836,7.731853008270264,28.440673828125,78.2754898071289,140.29759216308594,8.525758743286133,173.12535095214844,36.032440185546875,13.890281677246094,9.299141883850098,36.13820266723633,23.61240577697754,37.06739044189453,39.426509857177734,44.202972412109375,,40.58104705810547,3.3398797512054443,7.177865982055664,6.704233646392822,19.582454681396484,31.93000030517578,61.44615173339844,,99.5999984741211,45.220001220703125,104.80404663085938,57.80543518066406,158.90457153320312,97.05249786376953,9.718315124511719,49.38393020629883,57.57206726074219,74.311279296875
