fecha,ticker,id_instrumento,beta,sox_estimado,apertura_sellada,puntaje_entero_q88,puntaje_entero_pp,puntaje_flotante_pp,error_abs_pp,decision_entero,decision_flotante,saturo
2026-07-27,000660.KS,0,0.82,-2.232263877463078,-1.83,-647,-2.527344,-2.528039,0.00069509,1,1,0
2026-07-27,005930.KS,1,0.66,-2.232263877463078,-1.47,-538,-2.101562,-2.101118,0.00044413,1,1,0
2026-07-27,2330.TW,2,0.34,-2.232263877463078,-0.76,-337,-1.316406,-1.317036,0.00062944,1,1,0
2026-07-27,3436.T,3,0.65,-2.232263877463078,-1.45,-496,-1.9375,-1.939279,0.00177924,1,1,0
2026-07-27,4063.T,4,0.36,-2.232263877463078,-0.79,-313,-1.222656,-1.222164,0.00049178,1,1,0
2026-07-27,6857.T,5,0.65,-2.232263877463078,-1.46,-461,-1.800781,-1.799763,0.0010185,1,1,0
2026-07-27,8035.T,6,0.59,-2.232263877463078,-1.32,-409,-1.597656,-1.596069,0.00158758,1,1,0
2026-07-27,IFX.DE,7,0.08,-2.232263877463078,-0.18,-100,-0.390625,-0.387856,0.00276915,0,0,0
2026-07-28,000660.KS,0,0.84,-4.4804871709182725,-3.76,-1073,-4.191406,-4.187146,0.00426023,1,1,0
2026-07-28,005930.KS,1,0.67,-4.4804871709182725,-3.0,-842,-3.289062,-3.285448,0.00361453,1,1,0
2026-07-28,2330.TW,2,0.34,-4.4804871709182725,-1.54,-427,-1.667969,-1.666872,0.00109677,1,1,0
2026-07-28,3436.T,3,0.68,-4.4804871709182725,-3.05,-799,-3.121094,-3.119981,0.00111311,1,1,0
2026-07-28,4063.T,4,0.36,-4.4804871709182725,-1.63,-414,-1.617188,-1.615968,0.00121973,1,1,0
2026-07-28,6857.T,5,0.67,-4.4804871709182725,-2.99,-752,-2.9375,-2.934662,0.00283818,1,1,0
2026-07-28,8035.T,6,0.61,-4.4804871709182725,-2.73,-665,-2.597656,-2.595576,0.00208064,1,1,0
2026-07-28,IFX.DE,7,0.1,-4.4804871709182725,-0.45,-62,-0.242188,-0.24027,0.00191733,0,0,0
2026-07-29,000660.KS,0,0.86,-5.337335106574171,-4.59,-1136,-4.4375,-4.437329,0.00017123,1,1,0
2026-07-29,005930.KS,1,0.68,-5.337335106574171,-3.63,-865,-3.378906,-3.379575,0.00066872,1,1,0
2026-07-29,2330.TW,2,0.35,-5.337335106574171,-1.87,-390,-1.523438,-1.521221,0.00221659,1,1,0
2026-07-29,3436.T,3,0.69,-5.337335106574171,-3.68,-847,-3.308594,-3.309138,0.0005446,1,1,0
2026-07-29,4063.T,4,0.37,-5.337335106574171,-1.99,-403,-1.574219,-1.574415,0.00019587,1,1,0
2026-07-29,6857.T,5,0.66,-5.337335106574171,-3.5,-792,-3.09375,-3.095465,0.0017153,1,1,0
2026-07-29,8035.T,6,0.63,-5.337335106574171,-3.38,-745,-2.910156,-2.908569,0.0015875,1,1,0
2026-07-29,IFX.DE,7,0.11,-5.337335106574171,-0.58,-27,-0.105469,-0.106378,0.00090925,0,0,0
2026-07-30,000660.KS,0,0.84,8.218909642401021,6.91,2986,11.664062,11.666864,0.00280102,2,2,0
2026-07-30,005930.KS,1,0.64,8.218909642401021,5.28,2464,9.625,9.626225,0.00122544,2,2,0
2026-07-30,2330.TW,2,0.34,8.218909642401021,2.8,1731,6.761719,6.763696,0.00197764,2,2,0
2026-07-30,3436.T,3,0.68,8.218909642401021,5.59,2338,9.132812,9.134493,0.00168052,2,2,0
2026-07-30,4063.T,4,0.35,8.218909642401021,2.85,1535,5.996094,5.99862,0.00252644,2,2,0
2026-07-30,6857.T,5,0.57,8.218909642401021,4.68,1889,7.378906,7.383148,0.00424142,2,2,0
2026-07-30,8035.T,6,0.59,8.218909642401021,4.83,1823,7.121094,7.123893,0.00279946,2,2,0
2026-07-30,IFX.DE,7,0.13,8.218909642401021,1.09,747,2.917969,2.919562,0.00159338,2,2,0
2026-07-31,000660.KS,0,0.98,0.07446972262414187,0.07,-928,-3.625,-3.622944,0.00205629,1,1,0
2026-07-31,005930.KS,1,0.77,0.07446972262414187,0.06,-975,-3.808594,-3.807701,0.0008925,1,1,0
2026-07-31,2330.TW,2,0.38,0.07446972262414187,0.03,-1026,-4.007812,-4.005863,0.00194916,1,1,0
2026-07-31,3436.T,3,0.77,0.07446972262414187,0.06,-953,-3.722656,-3.722306,0.00034985,1,1,0
2026-07-31,4063.T,4,0.36,0.07446972262414187,0.03,-896,-3.5,-3.498325,0.00167476,1,1,0
2026-07-31,6857.T,5,0.66,0.07446972262414187,0.05,-825,-3.222656,-3.221471,0.00118567,1,1,0
2026-07-31,8035.T,6,0.62,0.07446972262414187,0.04,-761,-2.972656,-2.969936,0.00272063,1,1,0
2026-07-31,IFX.DE,7,0.09,0.07446972262414187,0.01,-706,-2.757812,-2.754891,0.00292168,1,1,0
2026-08-03,2330.TW,2,0.38,1.0607412491420727,0.4,361,1.410156,1.409009,0.00114739,2,2,0
