fecha,ticker,id_instrumento,beta,sox_estimado,apertura_sellada,puntaje_entero_q88,puntaje_entero_pp,puntaje_flotante_pp,error_abs_pp,decision_entero,decision_flotante,saturo
2026-07-27,000660.KS,0,0.82,-2.232263877463078,-1.83,-469,-1.832031,-1.830456,0.00157487,1,1,0
2026-07-27,005930.KS,1,0.66,-2.232263877463078,-1.47,-377,-1.472656,-1.473294,0.00063791,1,1,0
2026-07-27,2330.TW,2,0.34,-2.232263877463078,-0.76,-195,-0.761719,-0.75897,0.00274903,1,1,0
2026-07-27,3436.T,3,0.65,-2.232263877463078,-1.45,-372,-1.453125,-1.450972,0.00215348,1,1,0
2026-07-27,4063.T,4,0.36,-2.232263877463078,-0.79,-206,-0.804688,-0.803615,0.0010725,1,1,0
2026-07-27,6857.T,5,0.65,-2.232263877463078,-1.46,-372,-1.453125,-1.450972,0.00215348,1,1,0
2026-07-27,8035.T,6,0.59,-2.232263877463078,-1.32,-337,-1.316406,-1.317036,0.00062944,1,1,0
2026-07-27,IFX.DE,7,0.08,-2.232263877463078,-0.18,-46,-0.179688,-0.178581,0.00110639,0,0,0
2026-07-28,000660.KS,0,0.84,-4.4804871709182725,-3.76,-964,-3.765625,-3.763609,0.00201578,1,1,0
2026-07-28,005930.KS,1,0.67,-4.4804871709182725,-3.0,-769,-3.003906,-3.001926,0.00197985,1,1,0
2026-07-28,2330.TW,2,0.34,-4.4804871709182725,-1.54,-391,-1.527344,-1.523366,0.00397811,1,1,0
2026-07-28,3436.T,3,0.68,-4.4804871709182725,-3.05,-780,-3.046875,-3.046731,0.00014372,1,1,0
2026-07-28,4063.T,4,0.36,-4.4804871709182725,-1.63,-413,-1.613281,-1.612975,0.00030587,1,1,0
2026-07-28,6857.T,5,0.67,-4.4804871709182725,-2.99,-769,-3.003906,-3.001926,0.00197985,1,1,0
2026-07-28,8035.T,6,0.61,-4.4804871709182725,-2.73,-700,-2.734375,-2.733097,0.00127783,1,1,0
