fecha,ticker,pred,sigma,gap_pct,mu_clim,sd_clim,n_clim,MAE,CRPS,DIR
2026-07-05,000660.KS,-4.88,5.454119850187266,1.0309,0.12039060587959345,1.895164793054567,14699,-4.88,-2.992500486445565,-1.0
2026-07-05,005930.KS,-3.91,4.798689138576779,3.3926,0.12039060587959345,1.895164793054567,14699,-3.91,-2.59489488721654,-1.0
2026-07-05,2330.TW,-2.04,1.849250936329588,0.818,0.12039060587959345,1.895164793054567,14699,-2.04,-1.3681139504760604,-1.0
2026-07-05,3436.T,-3.78,5.337078651685393,-0.1178,0.12039060587959345,1.895164793054567,14699,-3.5444,-1.757386368224641,1.0
2026-07-05,4063.T,-1.88,2.754369538077403,1.4372,0.12039060587959345,1.895164793054567,14699,-1.8799999999999997,-1.2756272251970269,-1.0
2026-07-05,6857.T,-3.71,4.23689138576779,1.7039,0.12039060587959345,1.895164793054567,14699,-3.71,-2.4858143107239754,-1.0
2026-07-05,8035.T,-3.15,3.4488139825218473,1.2158,0.12039060587959345,1.895164793054567,14699,-3.1500000000000004,-2.0688505642138546,-1.0
2026-07-05,IFX.DE,-0.39,3.6594881398252186,-1.6929,0.12039060587959345,1.895164793054567,14699,0.3899999999999999,0.048365829554321005,1.0
2026-07-08,000660.KS,1.97,5.500936329588015,7.3218,0.117025404779076,1.9001170410376063,14723,1.9699999999999998,2.9196504215899113,0.0
2026-07-08,005930.KS,1.53,4.900124843945068,3.964,0.117025404779076,1.9001170410376063,14723,1.5299999999999998,1.1873628506085852,0.0
2026-07-08,2330.TW,0.78,1.8882646691635454,-0.6085,0.117025404779076,1.9001170410376063,14723,-0.78,-0.27795086446079154,0.0
2026-07-08,3436.T,1.45,5.493133583021224,3.6166,0.117025404779076,1.9001170410376063,14723,1.4500000000000002,0.8560690728277951,0.0
2026-07-08,4063.T,0.7,2.8245942571785267,-0.289,0.117025404779076,1.9001170410376063,14723,-0.7,-0.31831839373262977,0.0
2026-07-08,6857.T,1.49,4.197877652933832,4.9192,0.117025404779076,1.9001170410376063,14723,1.4900000000000002,1.696807687686964,0.0
2026-07-08,8035.T,1.29,3.386392009987515,3.7862,0.117025404779076,1.9001170410376063,14723,1.29,1.1419625080592506,0.0
2026-07-08,IFX.DE,0.15,3.7375156054931336,3.798,0.117025404779076,1.9001170410376063,14723,0.1499999999999999,0.456017268684743,0.0
2026-07-09,000660.KS,2.73,5.508739076154806,5.032,0.117025404779076,1.9001170410376063,14723,2.73,2.183108384864717,0.0
2026-07-09,005930.KS,2.11,4.90792759051186,4.6763,0.117025404779076,1.9001170410376063,14723,2.11,1.8271805615438121,0.0
2026-07-09,3436.T,1.98,5.485330836454432,6.162,0.117025404779076,1.9001170410376063,14723,1.9799999999999995,2.478050320658184,0.0
2026-07-09,4063.T,0.96,2.8245942571785267,3.495,0.117025404779076,1.9001170410376063,14723,0.96,0.8519300977941617,0.0
2026-07-09,6857.T,2.06,4.205680399500624,3.4294,0.117025404779076,1.9001170410376063,14723,2.06,1.143673703696085,0.0
2026-07-09,8035.T,1.79,3.4019975031210987,2.5894,0.117025404779076,1.9001170410376063,14723,1.79,0.7033102430322619,0.0
2026-07-09,IFX.DE,0.22,3.729712858926342,-2.454,0.117025404779076,1.9001170410376063,14723,-0.2200000000000002,0.04810231327529446,0.0
2026-07-13,2330.TW,-1.62,1.896067415730337,-1.2295,0.116722852976837,1.9025251428673713,14747,0.839,0.33446691170228926,1.0
2026-07-13,4063.T,-1.54,2.832397003745318,-0.6131,0.116722852976837,1.9025251428673713,14747,-0.3138000000000001,-0.22690770283519723,1.0
2026-07-13,6857.T,-3.22,4.213483146067416,-1.7349,0.116722852976837,1.9025251428673713,14747,0.24980000000000002,-0.07961659839097823,1.0
2026-07-13,IFX.DE,-0.35,3.745318352059925,-0.9237,0.116722852976837,1.9025251428673713,14747,0.35,-0.2441473784807653,1.0
2026-07-14,000660.KS,2.19,5.735018726591759,10.8207,0.11821361688902388,1.9040853853777402,14755,2.1899999999999995,3.900755346746961,0.0
2026-07-14,005930.KS,1.69,5.017166042446941,7.7947,0.11821361688902388,1.9040853853777402,14755,1.6900000000000004,2.784310056126801,0.0
2026-07-14,2330.TW,0.86,1.896067415730337,0.2066,0.11821361688902388,1.9040853853777402,14755,-0.4468,-0.08543980504878179,0.0
2026-07-14,3436.T,1.68,5.617977528089887,1.1871,0.11821361688902388,1.9040853853777402,14755,0.6942000000000002,-0.6518734795425934,0.0
2026-07-14,4063.T,0.79,2.8245942571785267,1.4857,0.11821361688902388,1.9040853853777402,14755,0.79,0.09265997675552917,0.0
2026-07-14,6857.T,1.65,4.229088639200999,1.3602,0.11821361688902388,1.9040853853777402,14755,1.0704000000000002,-0.2390605292306376,0.0
2026-07-14,8035.T,1.48,3.386392009987515,1.0825,0.11821361688902388,1.9040853853777402,14755,0.685,-0.17423905402699869,0.0
2026-07-14,IFX.DE,0.19,3.760923845193508,1.1139,0.11821361688902388,1.9040853853777402,14755,0.18999999999999995,-0.32091788919199205,0.0
2026-07-15,000660.KS,-1.82,5.758426966292134,-8.6455,0.11785825103983755,1.9041664204058246,14763,1.8200000000000003,3.446554290355495,1.0
2026-07-15,005930.KS,-1.42,5.017166042446941,-5.3667,0.11785825103983755,1.9041664204058246,14763,1.42,2.061525387569846,1.0
2026-07-15,2330.TW,-0.69,1.8882646691635454,-0.4098,0.11785825103983755,1.9041664204058246,14763,0.12960000000000005,0.045121014445783814,1.0
2026-07-15,3436.T,-1.34,5.6491885143570535,-5.4001,0.11785825103983755,1.9041664204058246,14763,1.3399999999999999,2.0090551322510835,1.0
2026-07-15,4063.T,-0.65,2.832397003745318,-3.1079,0.11785825103983755,1.9041664204058246,14763,0.6499999999999999,0.758912739870734,1.0
2026-07-15,6857.T,-1.37,4.2446941323345815,-2.6658,0.11785825103983755,1.9041664204058246,14763,1.37,0.6824606793609613,1.0
2026-07-15,8035.T,-1.22,3.3941947565543065,-4.0409,0.11785825103983755,1.9041664204058246,14763,1.2199999999999998,1.4257548956783193,1.0
2026-07-15,IFX.DE,-0.15,3.760923845193508,0.1337,0.11785825103983755,1.9041664204058246,14763,-0.15,-0.44239582791268267,-1.0
2026-07-16,2330.TW,-1.42,1.8882646691635454,-3.8462,0.11785825103983755,1.9041664204058246,14763,1.42,1.3772494971013993,1.0
2026-07-16,3436.T,-2.82,5.696004993757803,-1.5171,0.11785825103983755,1.9041664204058246,14763,0.21419999999999995,-0.47650099022833214,1.0
2026-07-16,4063.T,-1.37,2.8480024968789013,-2.0514,0.11785825103983755,1.9041664204058246,14763,1.37,0.6063459677326879,1.0
2026-07-16,6857.T,-2.85,4.252496878901373,-5.0607,0.11785825103983755,1.9041664204058246,14763,2.85,2.665813826555845,1.0
2026-07-16,8035.T,-2.55,3.40980024968789,-5.4874,0.11785825103983755,1.9041664204058246,14763,2.55,2.78445240686153,1.0
2026-07-16,IFX.DE,-0.23,3.7999375780274653,-5.5324,0.11785825103983755,1.9041664204058246,14763,0.23000000000000043,1.137551380588722,1.0
2026-07-17,000660.KS,-1.44,5.83645443196005,-5.266,0.11785825103983755,1.9041664204058246,14763,1.44,1.9820108206584641,1.0
2026-07-17,005930.KS,-1.12,5.071785268414482,-5.4902,0.11785825103983755,1.9041664204058246,14763,1.12,1.934459032731458,1.0
2026-07-17,2330.TW,-0.58,1.9818976279650435,0.4367,0.11785825103983755,1.9041664204058246,14763,-0.58,-0.20054286185274062,-1.0
2026-07-17,3436.T,-1.15,5.813046192259675,0.0255,0.11785825103983755,1.9041664204058246,14763,-1.15,-1.0062082199249662,-1.0
2026-07-17,4063.T,-0.53,2.8480024968789013,0.6707,0.11785825103983755,1.9041664204058246,14763,-0.5299999999999999,-0.3559910893398329,-1.0
2026-07-17,6857.T,-1.11,4.268102372034956,1.8179,0.11785825103983755,1.9041664204058246,14763,-1.11,-0.7554374745477099,-1.0
2026-07-17,8035.T,-1.01,3.4488139825218473,-1.1521,0.11785825103983755,1.9041664204058246,14763,1.01,-0.03740413286074162,1.0
2026-07-17,IFX.DE,-0.1,3.815543071161048,0.8483,0.11785825103983755,1.9041664204058246,14763,-0.09999999999999998,-0.42979118976350084,-1.0
2026-07-21,000660.KS,4.64,5.805243445692884,7.6797,0.11509185902196171,1.9108101652036158,14793,4.64,4.509077784777654,0.0
2026-07-21,005930.KS,3.63,5.095193508114856,6.5637,0.11509185902196171,1.9108101652036158,14793,3.63,3.5243333585580503,0.0
2026-07-21,3436.T,3.65,5.805243445692884,5.1026,0.11509185902196171,1.9108101652036158,14793,3.65,2.4139561794795714,0.0
2026-07-21,4063.T,1.69,2.8480024968789013,0.3886,0.11509185902196171,1.9108101652036158,14793,-0.9127999999999998,-0.4366238384317181,0.0
2026-07-21,6857.T,3.6,4.260299625468164,4.2187,0.11509185902196171,1.9108101652036158,14793,3.6,2.0158115136571064,0.0
2026-07-21,8035.T,3.23,3.4332084893882646,4.5065,0.11509185902196171,1.9108101652036158,14793,3.23,2.3379003459293766,0.0
2026-07-22,000660.KS,0.38,5.813046192259675,4.3716,0.11516314995230796,1.9106923357767958,14795,0.3799999999999999,0.7847862079159555,0.0
2026-07-22,005930.KS,0.3,5.102996254681647,3.263,0.11516314995230796,1.9106923357767958,14795,0.2999999999999998,0.2889364297792798,0.0
2026-07-22,2330.TW,0.15,2.005305867665418,-0.625,0.11516314995230796,1.9106923357767958,14795,-0.15000000000000002,-0.027158591478153027,0.0
2026-07-22,3436.T,0.3,5.8286516853932575,4.8877,0.11516314995230796,1.9106923357767958,14795,0.2999999999999998,0.9695730520085872,0.0
2026-07-22,4063.T,0.14,2.6919475655430714,1.4841,0.11516314995230796,1.9106923357767958,14795,0.1399999999999999,-0.06952221510302581,0.0
2026-07-22,6857.T,0.3,4.275905118601748,3.5322,0.11516314995230796,1.9106923357767958,14795,0.2999999999999998,0.4651290363801719,0.0
2026-07-22,8035.T,0.26,3.4488139825218473,0.7732,0.11516314995230796,1.9106923357767958,14795,0.26,-0.3003335427315509,0.0
2026-07-22,IFX.DE,0.03,3.838951310861423,-4.1547,0.11516314995230796,1.9106923357767958,14795,-0.03000000000000025,0.6526897199256059,0.0
2026-07-23,000660.KS,-0.43,5.610174781523096,-1.3028,0.11516314995230796,1.9106923357767958,14795,0.42999999999999994,-0.5170614779210919,1.0
2026-07-23,005930.KS,-0.33,4.845505617977528,-1.4815,0.11516314995230796,1.9106923357767958,14795,0.33000000000000007,-0.2911618263061643,1.0
2026-07-23,2330.TW,-0.17,1.927278401997503,-2.079,0.11516314995230796,1.9106923357767958,14795,0.16999999999999993,0.20564090837625448,1.0
