fecha,ticker,pred,sigma,alpha,n_train,gap_pct
2026-07-05,000660.KS,-4.88,5.454119850187266,,,1.0309
2026-07-05,005930.KS,-3.91,4.798689138576779,,,3.3926
2026-07-05,2330.TW,-2.04,1.849250936329588,,,0.818
2026-07-05,3436.T,-3.78,5.337078651685393,,,-0.1178
2026-07-05,4063.T,-1.88,2.754369538077403,,,1.4372
2026-07-05,6857.T,-3.71,4.23689138576779,,,1.7039
2026-07-05,8035.T,-3.15,3.4488139825218473,,,1.2158
2026-07-05,IFX.DE,-0.39,3.6594881398252186,,,-1.6929
2026-07-08,000660.KS,1.97,5.500936329588015,,,7.3218
2026-07-08,005930.KS,1.53,4.900124843945068,,,3.964
2026-07-08,2330.TW,0.78,1.8882646691635454,,,-0.6085
2026-07-08,3436.T,1.45,5.493133583021224,,,3.6166
2026-07-08,4063.T,0.7,2.8245942571785267,,,-0.289
2026-07-08,6857.T,1.49,4.197877652933832,,,4.9192
2026-07-08,8035.T,1.29,3.386392009987515,,,3.7862
2026-07-08,IFX.DE,0.15,3.7375156054931336,,,3.798
2026-07-09,000660.KS,2.73,5.508739076154806,,,5.032
2026-07-09,005930.KS,2.11,4.90792759051186,,,4.6763
2026-07-09,3436.T,1.98,5.485330836454432,,,6.162
2026-07-09,4063.T,0.96,2.8245942571785267,,,3.495
2026-07-09,6857.T,2.06,4.205680399500624,,,3.4294
2026-07-09,8035.T,1.79,3.4019975031210987,,,2.5894
2026-07-09,IFX.DE,0.22,3.729712858926342,,,-2.454
2026-07-13,2330.TW,-1.62,1.896067415730337,,,-1.2295
2026-07-13,4063.T,-1.54,2.832397003745318,,,-0.6131
2026-07-13,6857.T,-3.22,4.213483146067416,,,-1.7349
2026-07-13,IFX.DE,-0.35,3.745318352059925,,,-0.9237
2026-07-14,000660.KS,2.19,5.735018726591759,,,10.8207
2026-07-14,005930.KS,1.69,5.017166042446941,,,7.7947
2026-07-14,2330.TW,0.86,1.896067415730337,,,0.2066
2026-07-14,3436.T,1.68,5.617977528089887,,,1.1871
2026-07-14,4063.T,0.79,2.8245942571785267,,,1.4857
2026-07-14,6857.T,1.65,4.229088639200999,,,1.3602
2026-07-14,8035.T,1.48,3.386392009987515,,,1.0825
2026-07-14,IFX.DE,0.19,3.760923845193508,,,1.1139
2026-07-15,000660.KS,-1.82,5.758426966292134,,,-8.6455
2026-07-15,005930.KS,-1.42,5.017166042446941,,,-5.3667
2026-07-15,2330.TW,-0.69,1.8882646691635454,,,-0.4098
