fecha,ticker,pred,sigma,alpha,n_train,gap_pct,mu_clim,sd_clim,n_clim,MAE,CRPS,DIR
2026-07-08,000660.KS,0.9968677212319739,1.5442353304475873,100.0,14699,7.3218,0.117025404779076,1.9001170410376063,14723,0.9968677212319736,0.6791101946979712,0.0
2026-07-08,005930.KS,0.9968677212319739,1.5442353304475873,100.0,14699,3.964,0.117025404779076,1.9001170410376063,14723,0.9968677212319741,0.676971841264213,0.0
2026-07-08,2330.TW,0.9968677212319739,1.5442353304475873,100.0,14699,-0.6085,0.117025404779076,1.9001170410376063,14723,-0.9968677212319739,-0.41938066285099296,0.0
2026-07-08,3436.T,0.9968677212319739,1.5442353304475873,100.0,14699,3.6166,0.117025404779076,1.9001170410376063,14723,0.9968677212319736,0.670889738367598,0.0
2026-07-08,4063.T,0.9968677212319739,1.5442353304475873,100.0,14699,-0.289,0.117025404779076,1.9001170410376063,14723,-0.9968677212319739,-0.28643844687279946,0.0
2026-07-08,6857.T,0.9968677212319739,1.5442353304475873,100.0,14699,4.9192,0.117025404779076,1.9001170410376063,14723,0.9968677212319736,0.6805889259103055,0.0
2026-07-08,8035.T,0.9968677212319739,1.5442353304475873,100.0,14699,3.7862,0.117025404779076,1.9001170410376063,14723,0.9968677212319736,0.6744017037138406,0.0
2026-07-08,IFX.DE,0.9968677212319739,1.5442353304475873,100.0,14699,3.798,0.117025404779076,1.9001170410376063,14723,0.9968677212319736,0.6746044550792627,0.0
2026-07-09,000660.KS,1.5575358005525224,1.5442353304475873,100.0,14699,5.032,0.117025404779076,1.9001170410376063,14723,1.5575358005525226,1.2324495042975725,0.0
2026-07-09,005930.KS,1.5575358005525224,1.5442353304475873,100.0,14699,4.6763,0.117025404779076,1.9001170410376063,14723,1.5575358005525226,1.2252038855345102,0.0
2026-07-09,3436.T,1.5575358005525224,1.5442353304475873,100.0,14699,6.162,0.117025404779076,1.9001170410376063,14723,1.5575358005525226,1.2392210252710383,0.0
2026-07-09,4063.T,1.5575358005525224,1.5442353304475873,100.0,14699,3.495,0.117025404779076,1.9001170410376063,14723,1.5575358005525224,1.1423593278653803,0.0
2026-07-09,6857.T,1.5575358005525224,1.5442353304475873,100.0,14699,3.4294,0.117025404779076,1.9001170410376063,14723,1.5575358005525224,1.1332328017641053,0.0
