fecha,ticker,pred,sigma,alpha,n_train,gap_pct
2026-07-08,000660.KS,2.0515649265698395,1.5240660801359194,10.0,1567,7.3218
2026-07-08,005930.KS,0.9081307508671422,1.1928151780806293,100.0,1567,3.964
2026-07-08,2330.TW,0.6577046455446367,1.108121348146302,10.0,1583,-0.6085
2026-07-08,3436.T,0.7244954226834492,1.7105826186991,30.0,1549,3.6166
2026-07-08,4063.T,-0.2177520418904793,1.2534763100160036,100.0,1549,-0.289
2026-07-08,6857.T,1.6927058273097617,1.681749614150459,0.03,1549,4.9192
2026-07-08,8035.T,1.6425937730165072,1.4304606088634724,3.0,1549,3.7862
2026-07-08,IFX.DE,0.8400247411932764,1.555860353669815,300.0,1678,3.798
2026-07-09,000660.KS,2.5887047376925127,1.5240660801359194,10.0,1567,5.032
2026-07-09,005930.KS,1.5456403887303614,1.1928151780806293,100.0,1567,4.6763
2026-07-09,3436.T,2.1994377076184337,1.7105826186991,30.0,1549,6.162
2026-07-09,4063.T,1.3472619004906428,1.2534763100160036,100.0,1549,3.495
2026-07-09,6857.T,2.934106810077336,1.681749614150459,0.03,1549,3.4294
2026-07-09,8035.T,2.8262323533386526,1.4304606088634724,3.0,1549,2.5894
2026-07-09,IFX.DE,1.0727077793112942,1.555860353669815,300.0,1678,-2.454
2026-07-13,2330.TW,-1.5793150972480667,1.1082036193183151,10.0,1586,-1.2295
2026-07-13,4063.T,-1.1999141926750276,1.252834946667813,100.0,1552,-0.6131
2026-07-13,6857.T,-2.552732430513414,1.684691773548936,0.03,1552,-1.7349
2026-07-13,IFX.DE,-0.6881297038952092,1.5594110140528914,300.0,1681,-0.9237
2026-07-14,000660.KS,1.323437249605075,1.5344102480311792,10.0,1571,10.8207
2026-07-14,005930.KS,0.8694132625342419,1.2044594890678921,100.0,1571,7.7947
2026-07-14,2330.TW,0.9031324951959518,1.1087526667355265,10.0,1587,0.2066
2026-07-14,3436.T,1.0899444618528207,1.7140508927301286,30.0,1553,1.1871
2026-07-14,4063.T,0.6419028431025471,1.2535574566209944,100.0,1553,1.4857
2026-07-14,6857.T,1.558246703814439,1.6841948870794632,0.03,1553,1.3602
2026-07-14,8035.T,1.5205424200414934,1.4318642819157044,3.0,1553,1.0825
2026-07-14,IFX.DE,0.6041566305736887,1.561547902151254,300.0,1682,1.1139
